Place,Year,Population
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785437
Alabama,2011,4799069
Alabama,2012,4815588
Alabama,2013,4830081
Alabama,2014,4841799
Alabama,2015,4852347
Alabama,2016,4863525
Alabama,2017,4874486
Alabama,2018,4887681
Alabama,2019,4903185
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713910
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alaska,2015,737498
Alaska,2016,741456
Alaska,2017,739700
Alaska,2018,735139
Alaska,2019,731545
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6407172
Arizona,2011,6472643
Arizona,2012,6554978
Arizona,2013,6632764
Arizona,2014,6730413
Arizona,2015,6829676
Arizona,2016,6941072
Arizona,2017,7044008
Arizona,2018,7158024
Arizona,2019,7278717
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921964
Arkansas,2011,2940667
Arkansas,2012,2952164
Arkansas,2013,2959400
Arkansas,2014,2967392
Arkansas,2015,2978048
Arkansas,2016,2989918
Arkansas,2017,3001345
Arkansas,2018,3009733
Arkansas,2019,3017804
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37319502
California,2011,37638369
California,2012,37948800
California,2013,38260787
California,2014,38596972
California,2015,38918045
California,2016,39167117
California,2017,39358497
California,2018,39461588
California,2019,39512223
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5047349
Colorado,2011,5121108
Colorado,2012,5192647
Colorado,2013,5269035
Colorado,2014,5350101
Colorado,2015,5450623
Colorado,2016,5539215
Colorado,2017,5611885
Colorado,2018,5691287
Colorado,2019,5758736
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3579114
Connecticut,2011,3588283
Connecticut,2012,3594547
Connecticut,2013,3594841
Connecticut,2014,3594524
Connecticut,2015,3587122
Connecticut,2016,3578141
Connecticut,2017,3573297
Connecticut,2018,3571520
Connecticut,2019,3565287
Delaware,2000,786373
Delaware,2001,795699
Delaware,2002,806169
Delaware,2003,818003
Delaware,2004,830803
Delaware,2005,845150
Delaware,2006,859268
Delaware,2007,871749
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899593
Delaware,2011,907381
Delaware,2012,915179
Delaware,2013,923576
Delaware,2014,932487
Delaware,2015,941252
Delaware,2016,948921
Delaware,2017,956823
Delaware,2018,965479
Delaware,2019,973764
Florida,2000,16047515
Florida,2001,16356966
Florida,2002,16689370
Florida,2003,17004085
Florida,2004,17415318
Florida,2005,17842038
Florida,2006,18166990
Florida,2007,18367842
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18845537
Florida,2011,19053237
Florida,2012,19297822
Florida,2013,19545621
Florida,2014,19845911
Florida,2015,20209042
Florida,2016,20613477
Florida,2017,20963613
Florida,2018,21244317
Florida,2019,21477737
Georgia,2000,8227303
Georgia,2001,8377038
Georgia,2002,8508256
Georgia,2003,8622793
Georgia,2004,8769252
Georgia,2005,8925922
Georgia,2006,9155813
Georgia,2007,9349988
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9711881
Georgia,2011,9802431
Georgia,2012,9901430
Georgia,2013,9972479
Georgia,2014,10067278
Georgia,2015,10178447
Georgia,2016,10301890
Georgia,2017,10410330
Georgia,2018,10511131
Georgia,2019,10617423
Hawaii,2000,1213519
Hawaii,2001,1225948
Hawaii,2002,1239613
Hawaii,2003,1251154
Hawaii,2004,1273569
Hawaii,2005,1292729
Hawaii,2006,1309731
Hawaii,2007,1315675
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1363963
Hawaii,2011,1379329
Hawaii,2012,1394804
Hawaii,2013,1408243
Hawaii,2014,1414538
Hawaii,2015,1422052
Hawaii,2016,1427559
Hawaii,2017,1424393
Hawaii,2018,1420593
Hawaii,2019,1415872
Idaho,2000,1299430
Idaho,2001,1319962
Idaho,2002,1340372
Idaho,2003,1363380
Idaho,2004,1391802
Idaho,2005,1428241
Idaho,2006,1468669
Idaho,2007,1505105
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1570746
Idaho,2011,1583910
Idaho,2012,1595324
Idaho,2013,1611206
Idaho,2014,1631112
Idaho,2015,1651059
Idaho,2016,1682380
Idaho,2017,1717715
Idaho,2018,1750536
Idaho,2019,1787065
Illinois,2000,12434161
Illinois,2001,12488445
Illinois,2002,12525556
Illinois,2003,12556006
Illinois,2004,12589773
Illinois,2005,12609903
Illinois,2006,12643955
Illinois,2007,12695866
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12840503
Illinois,2011,12867454
Illinois,2012,12882510
Illinois,2013,12895129
Illinois,2014,12884493
Illinois,2015,12858913
Illinois,2016,12820527
Illinois,2017,12778828
Illinois,2018,12723071
Illinois,2019,12671821
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490432
Indiana,2011,6516528
Indiana,2012,6537703
Indiana,2013,6568713
Indiana,2014,6593644
Indiana,2015,6608422
Indiana,2016,6634304
Indiana,2017,6658078
Indiana,2018,6695497
Indiana,2019,6732219
Iowa,2000,2929067
Iowa,2001,2931997
Iowa,2002,2934234
Iowa,2003,2941999
Iowa,2004,2953635
Iowa,2005,2964454
Iowa,2006,2982644
Iowa,2007,2999212
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3050745
Iowa,2011,3066336
Iowa,2012,3076190
Iowa,2013,3092997
Iowa,2014,3109350
Iowa,2015,3120960
Iowa,2016,3131371
Iowa,2017,3141550
Iowa,2018,3148618
Iowa,2019,3155070
Kansas,2000,2693681
Kansas,2001,2702162
Kansas,2002,2713535
Kansas,2003,2723004
Kansas,2004,2734373
Kansas,2005,2745299
Kansas,2006,2762931
Kansas,2007,2783785
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2858190
Kansas,2011,2869225
Kansas,2012,2885257
Kansas,2013,2893212
Kansas,2014,2900475
Kansas,2015,2909011
Kansas,2016,2910844
Kansas,2017,2908718
Kansas,2018,2911359
Kansas,2019,2913314
Kentucky,2000,4049021
Kentucky,2001,4068132
Kentucky,2002,4089875
Kentucky,2003,4117170
Kentucky,2004,4146101
Kentucky,2005,4182742
Kentucky,2006,4219239
Kentucky,2007,4256672
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4348181
Kentucky,2011,4369821
Kentucky,2012,4386346
Kentucky,2013,4404659
Kentucky,2014,4414349
Kentucky,2015,4425976
Kentucky,2016,4438182
Kentucky,2017,4452268
Kentucky,2018,4461153
Kentucky,2019,4467673
Louisiana,2000,4471885
Louisiana,2001,4477875
Louisiana,2002,4497267
Louisiana,2003,4521042
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544532
Louisiana,2011,4575625
Louisiana,2012,4600972
Louisiana,2013,4624527
Louisiana,2014,4644013
Louisiana,2015,4664628
Louisiana,2016,4678135
Louisiana,2017,4670560
Louisiana,2018,4659690
Louisiana,2019,4648794
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327629
Maine,2011,1328284
Maine,2012,1327729
Maine,2013,1328009
Maine,2014,1330513
Maine,2015,1328262
Maine,2016,1331317
Maine,2017,1334612
Maine,2018,1339057
Maine,2019,1344212
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5788645
Maryland,2011,5839419
Maryland,2012,5886992
Maryland,2013,5923188
Maryland,2014,5957283
Maryland,2015,5985562
Maryland,2016,6003323
Maryland,2017,6023868
Maryland,2018,6035802
Maryland,2019,6045680
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6566307
Massachusetts,2011,6613583
Massachusetts,2012,6663005
Massachusetts,2013,6713315
Massachusetts,2014,6762596
Massachusetts,2015,6794228
Massachusetts,2016,6823608
Massachusetts,2017,6859789
Massachusetts,2018,6882635
Massachusetts,2019,6892503
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877510
Michigan,2011,9882412
Michigan,2012,9897145
Michigan,2013,9913065
Michigan,2014,9929848
Michigan,2015,9931715
Michigan,2016,9950571
Michigan,2017,9973114
Michigan,2018,9984072
Michigan,2019,9986857
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5310828
Minnesota,2011,5346143
Minnesota,2012,5376643
Minnesota,2013,5413479
Minnesota,2014,5451079
Minnesota,2015,5482032
Minnesota,2016,5522744
Minnesota,2017,5566230
Minnesota,2018,5606249
Minnesota,2019,5639632
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970548
Mississippi,2011,2978731
Mississippi,2012,2983816
Mississippi,2013,2988711
Mississippi,2014,2990468
Mississippi,2015,2988471
Mississippi,2016,2987938
Mississippi,2017,2988510
Mississippi,2018,2981020
Mississippi,2019,2976149
Missouri,2010,5995974
Missouri,2011,6010275
Missouri,2012,6024367
Missouri,2013,6040715
Missouri,2014,6056202
Missouri,2015,6071732
Missouri,2016,6087135
Missouri,2017,6106670
Missouri,2018,6121623
Missouri,2019,6137428
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990697
Montana,2011,997316
Montana,2012,1003783
Montana,2013,1013569
Montana,2014,1021869
Montana,2015,1030475
Montana,2016,1040859
Montana,2017,1052482
Montana,2018,1060665
Montana,2019,1068778
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1829542
Nebraska,2011,1840672
Nebraska,2012,1853303
Nebraska,2013,1865279
Nebraska,2014,1879321
Nebraska,2015,1891277
Nebraska,2016,1905616
Nebraska,2017,1915947
Nebraska,2018,1925614
Nebraska,2019,1934408
Nevada,2000,2018741
Nevada,2001,2098399
Nevada,2002,2173791
Nevada,2003,2248850
Nevada,2004,2346222
Nevada,2005,2432143
Nevada,2006,2522658
Nevada,2007,2601072
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2702405
Nevada,2011,2712730
Nevada,2012,2743996
Nevada,2013,2775970
Nevada,2014,2817628
Nevada,2015,2866939
Nevada,2016,2917563
Nevada,2017,2969905
Nevada,2018,3027341
Nevada,2019,3080156
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316762
New Hampshire,2011,1320202
New Hampshire,2012,1324232
New Hampshire,2013,1326622
New Hampshire,2014,1333341
New Hampshire,2015,1336350
New Hampshire,2016,1342307
New Hampshire,2017,1348787
New Hampshire,2018,1353465
New Hampshire,2019,1359711
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8799446
New Jersey,2011,8828117
New Jersey,2012,8844942
New Jersey,2013,8856972
New Jersey,2014,8864525
New Jersey,2015,8867949
New Jersey,2016,8870827
New Jersey,2017,8885525
New Jersey,2018,8886025
New Jersey,2019,8882190
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
New Mexico,2006,1962137
New Mexico,2007,1990070
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2064552
New Mexico,2011,2080450
New Mexico,2012,2087309
New Mexico,2013,2092273
New Mexico,2014,2089568
New Mexico,2015,2089291
New Mexico,2016,2091630
New Mexico,2017,2091784
New Mexico,2018,2092741
New Mexico,2019,2096829
New York,2000,19001780
New York,2001,19082838
New York,2002,19137800
New York,2003,19175939
New York,2004,19171567
New York,2005,19132610
New York,2006,19104631
New York,2007,19132335
New York,2008,19212436
New York,2009,19307066
New York,2010,19399878
New York,2011,19499241
New York,2012,19572932
New York,2013,19624447
New York,2014,19651049
New York,2015,19654666
New York,2016,19633428
New York,2017,19589572
New York,2018,19530351
New York,2019,19453561
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9574323
North Carolina,2011,9657592
North Carolina,2012,9749476
North Carolina,2013,9843336
North Carolina,2014,9932887
North Carolina,2015,10031646
North Carolina,2016,10154788
North Carolina,2017,10268233
North Carolina,2018,10381615
North Carolina,2019,10488084
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674715
North Dakota,2011,685225
North Dakota,2012,701176
North Dakota,2013,722036
North Dakota,2014,737401
North Dakota,2015,754066
North Dakota,2016,754434
North Dakota,2017,754942
North Dakota,2018,758080
North Dakota,2019,762062
Ohio,2000,11363543
Ohio,2001,11387404
Ohio,2002,11407889
Ohio,2003,11434788
Ohio,2004,11452251
Ohio,2005,11463320
Ohio,2006,11481213
Ohio,2007,11500468
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11539336
Ohio,2011,11544663
Ohio,2012,11548923
Ohio,2013,11576684
Ohio,2014,11602700
Ohio,2015,11617527
Ohio,2016,11634370
Ohio,2017,11659650
Ohio,2018,11676341
Ohio,2019,11689100
Oklahoma,2000,3454365
Oklahoma,2001,3467100
Oklahoma,2002,3489080
Oklahoma,2003,3504892
Oklahoma,2004,3525233
Oklahoma,2005,3548597
Oklahoma,2006,3594090
Oklahoma,2007,3634349
Oklahoma,2008,3668976
Oklahoma,2009,3717572
Oklahoma,2010,3759944
Oklahoma,2011,3788379
Oklahoma,2012,3818814
Oklahoma,2013,3853214
Oklahoma,2014,3878187
Oklahoma,2015,3909500
Oklahoma,2016,3926331
Oklahoma,2017,3931316
Oklahoma,2018,3940235
Oklahoma,2019,3956971
Oregon,2000,3429708
Oregon,2001,3467937
Oregon,2002,3513424
Oregon,2003,3547376
Oregon,2004,3569463
Oregon,2005,3613202
Oregon,2006,3670883
Oregon,2007,3722417
Oregon,2008,3768748
Oregon,2009,3808600
Oregon,2010,3837491
Oregon,2011,3872036
Oregon,2012,3899001
Oregon,2013,3922468
Oregon,2014,3963244
Oregon,2015,4015792
Oregon,2016,4089976
Oregon,2017,4143625
Oregon,2018,4181886
Oregon,2019,4217737
Pennsylvania,2000,12284173
Pennsylvania,2001,12298970
Pennsylvania,2002,12331031
Pennsylvania,2003,12374658
Pennsylvania,2004,12410722
Pennsylvania,2005,12449990
Pennsylvania,2006,12510809
Pennsylvania,2007,12563937
Pennsylvania,2008,12612285
Pennsylvania,2009,12666858
Pennsylvania,2010,12711160
Pennsylvania,2011,12745815
Pennsylvania,2012,12767118
Pennsylvania,2013,12776309
Pennsylvania,2014,12788313
Pennsylvania,2015,12784826
Pennsylvania,2016,12782275
Pennsylvania,2017,12787641
Pennsylvania,2018,12800922
Pennsylvania,2019,12801989
Rhode Island,2000,1050268
Rhode Island,2001,1057142
Rhode Island,2002,1065995
Rhode Island,2003,1071342
Rhode Island,2004,1074579
Rhode Island,2005,1067916
Rhode Island,2006,1063096
Rhode Island,2007,1057315
Rhode Island,2008,1055003
Rhode Island,2009,1053646
Rhode Island,2010,1053959
Rhode Island,2011,1053649
Rhode Island,2012,1054621
Rhode Island,2013,1055081
Rhode Island,2014,1055936
Rhode Island,2015,1056065
Rhode Island,2016,1056770
Rhode Island,2017,1055673
Rhode Island,2018,1058287
Rhode Island,2019,1059361
South Carolina,2000,4024223
South Carolina,2001,4064995
South Carolina,2002,4107795
South Carolina,2003,4150297
South Carolina,2004,4210921
South Carolina,2005,4270150
South Carolina,2006,4357847
South Carolina,2007,4444110
South Carolina,2008,4528996
South Carolina,2009,4589872
South Carolina,2010,4635649
South Carolina,2011,4671994
South Carolina,2012,4717354
South Carolina,2013,4764080
South Carolina,2014,4823617
South Carolina,2015,4891938
South Carolina,2016,4957968
South Carolina,2017,5021268
South Carolina,2018,5084156
South Carolina,2019,5148714
South Dakota,2000,755844
South Dakota,2001,757972
South Dakota,2002,760020
South Dakota,2003,763729
South Dakota,2004,770396
South Dakota,2005,775493
South Dakota,2006,783033
South Dakota,2007,791623
South Dakota,2008,799124
South Dakota,2009,807067
South Dakota,2010,816166
South Dakota,2011,823579
South Dakota,2012,833566
South Dakota,2013,842316
South Dakota,2014,849129
South Dakota,2015,853988
South Dakota,2016,862996
South Dakota,2017,872868
South Dakota,2018,878698
South Dakota,2019,884659
Tennessee,2000,5703719
Tennessee,2001,5750789
Tennessee,2002,5795918
Tennessee,2003,5847812
Tennessee,2004,5910809
Tennessee,2005,5991057
Tennessee,2006,6088766
Tennessee,2007,6175727
Tennessee,2008,6247411
Tennessee,2009,6306019
Tennessee,2010,6355311
Tennessee,2011,6399291
Tennessee,2012,6453898
Tennessee,2013,6494340
Tennessee,2014,6541223
Tennessee,2015,6591170
Tennessee,2016,6646010
Tennessee,2017,6708799
Tennessee,2018,6771631
Tennessee,2019,6829174
Texas,2000,20944499
Texas,2001,21319622
Texas,2002,21690325
Texas,2003,22030931
Texas,2004,22394023
Texas,2005,22778123
Texas,2006,23359580
Texas,2007,23831983
Texas,2008,24309039
Texas,2009,24801761
Texas,2010,25241971
Texas,2011,25645629
Texas,2012,26084481
Texas,2013,26480266
Texas,2014,26964333
Texas,2015,27470056
Texas,2016,27914410
Texas,2017,28295273
Texas,2018,28628666
Texas,2019,28995881
Utah,2000,2244502
Utah,2001,2283715
Utah,2002,2324815
Utah,2003,2360137
Utah,2004,2401580
Utah,2005,2457719
Utah,2006,2525507
Utah,2007,2597746
Utah,2008,2663029
Utah,2009,2723421
Utah,2010,2775332
Utah,2011,2814384
Utah,2012,2853375
Utah,2013,2897640
Utah,2014,2936879
Utah,2015,2981835
Utah,2016,3041868
Utah,2017,3101042
Utah,2018,3153550
Utah,2019,3205958
Vermont,2000,609618
Vermont,2001,612223
Vermont,2002,615442
Vermont,2003,617858
Vermont,2004,619920
Vermont,2005,621215
Vermont,2006,622892
Vermont,2007,623481
Vermont,2008,624151
Vermont,2009,624817
Vermont,2010,625879
Vermont,2011,627049
Vermont,2012,626090
Vermont,2013,626210
Vermont,2014,625214
Vermont,2015,625216
Vermont,2016,623657
Vermont,2017,624344
Vermont,2018,624358
Vermont,2019,623989
Virginia,2000,7105817
Virginia,2001,7198362
Virginia,2002,7286873
Virginia,2003,7366977
Virginia,2004,7475575
Virginia,2005,7577105
Virginia,2006,7673725
Virginia,2007,7751000
Virginia,2008,7833496
Virginia,2009,7925937
Virginia,2010,8023699
Virginia,2011,8101155
Virginia,2012,8185080
Virginia,2013,8252427
Virginia,2014,8310993
Virginia,2015,8361808
Virginia,2016,8410106
Virginia,2017,8463587
Virginia,2018,8501286
Virginia,2019,8535519
Washington,2000,5910512
Washington,2001,5985722
Washington,2002,6052349
Washington,2003,6104115
Washington,2004,6178645
Washington,2005,6257305
Washington,2006,6370753
Washington,2007,6461587
Washington,2008,6562231
Washington,2009,6667426
Washington,2010,6742830
Washington,2011,6826627
Washington,2012,6897058
Washington,2013,6963985
Washington,2014,7054655
Washington,2015,7163657
Washington,2016,7294771
Washington,2017,7423362
Washington,2018,7523869
Washington,2019,7614893
West Virginia,2000,1807021
West Virginia,2001,1801481
West Virginia,2002,1805414
West Virginia,2003,1812295
West Virginia,2004,1816438
West Virginia,2005,1820492
West Virginia,2006,1827912
West Virginia,2007,1834052
West Virginia,2008,1840310
West Virginia,2009,1847775
West Virginia,2010,1854239
West Virginia,2011,1856301
West Virginia,2012,1856872
West Virginia,2013,1853914
West Virginia,2014,1849489
West Virginia,2015,1842050
West Virginia,2016,1831023
West Virginia,2017,1817004
West Virginia,2018,1804291
West Virginia,2019,1792147
Wisconsin,2000,5373999
Wisconsin,2001,5406835
Wisconsin,2002,5445162
Wisconsin,2003,5479203
Wisconsin,2004,5514026
Wisconsin,2005,5546166
Wisconsin,2006,5577655
Wisconsin,2007,5610775
Wisconsin,2008,5640996
Wisconsin,2009,5669264
Wisconsin,2010,5690475
Wisconsin,2011,5705288
Wisconsin,2012,5719960
Wisconsin,2013,5736754
Wisconsin,2014,5751525
Wisconsin,2015,5760940
Wisconsin,2016,5772628
Wisconsin,2017,5790186
Wisconsin,2018,5807406
Wisconsin,2019,5822434
Wyoming,2000,494300
Wyoming,2001,494657
Wyoming,2002,500017
Wyoming,2003,503453
Wyoming,2004,509106
Wyoming,2005,514157
Wyoming,2006,522667
Wyoming,2007,534876
Wyoming,2008,546043
Wyoming,2009,559851
Wyoming,2010,564487
Wyoming,2011,567299
Wyoming,2012,576305
Wyoming,2013,582122
Wyoming,2014,582531
Wyoming,2015,585613
Wyoming,2016,584215
Wyoming,2017,578931
Wyoming,2018,577601
Wyoming,2019,578759
